id	name	coordinates	site_type	time_period_start	time_period_end	time_period_label	description	confidence	sources	wikidata_qid	source_url	retrieved_at
chongoni-rock-art-area	Chongoni Rock Art Area	{"lat":-14.293333333,"lng":34.279166666}					Archaeological site in Malawi.	90	["Wikidata"]	Q832262	http://www.wikidata.org/entity/Q832262	2026-07-08T10:31:36.248Z
church-of-all-nations	Church of All Nations	{"lat":31.779227,"lng":35.239628}		1924		Founded 1924 CE	Archaeological site in Israel.	90	["Wikidata"]	Q1331689	http://www.wikidata.org/entity/Q1331689	2026-07-08T10:31:36.248Z
circus-maximus	Circus Maximus	{"lat":41.8859,"lng":12.4857}		-550		Founded 550 BCE	Archaeological site in Italy.	90	["Wikidata"]	Q207808	http://www.wikidata.org/entity/Q207808	2026-07-08T10:31:36.248Z
citadel-of-salah-ed-din	Citadel of Salah Ed-Din	{"lat":35.595833,"lng":36.057222}					Archaeological site in Syria.	90	["Wikidata"]	Q277531	http://www.wikidata.org/entity/Q277531	2026-07-08T10:31:36.248Z
ciudad-perdida	Ciudad Perdida	{"lat":11.037997222,"lng":-73.925191666}					Archaeological site in Colombia.	90	["Wikidata"]	Q1094367	http://www.wikidata.org/entity/Q1094367	2026-07-08T10:31:36.248Z
cloaca-maxima	Cloaca Maxima	{"lat":41.888888888,"lng":12.480277777}					Archaeological site in Italy.	90	["Wikidata"]	Q746102	http://www.wikidata.org/entity/Q746102	2026-07-08T10:31:36.248Z
coba	Coba	{"lat":20.4898,"lng":-87.7251}					Archaeological site in Mexico.	90	["Wikidata"]	Q1104936	http://www.wikidata.org/entity/Q1104936	2026-07-08T10:31:36.248Z
colonia-iulia-urbs-triumphalis-tarraco	Colonia Iulia Urbs Triumphalis Tarraco	{"lat":41.116477777,"lng":1.255230555}					Archaeological site in Spain.	90	["Wikidata"]	Q1501940	http://www.wikidata.org/entity/Q1501940	2026-07-08T10:31:36.248Z
colophon	Colophon	{"lat":38.11555556,"lng":27.14222222}		-1100		Founded 1100 BCE	Archaeological site in Turkey.	90	["Wikidata"]	Q1142488	http://www.wikidata.org/entity/Q1142488	2026-07-08T10:31:36.248Z
colossi-of-memnon	Colossi of Memnon	{"lat":25.720555555,"lng":32.610555555}					Archaeological site in Egypt.	90	["Wikidata"]	Q750209	http://www.wikidata.org/entity/Q750209	2026-07-08T10:31:36.248Z
coricancha	Coricancha	{"lat":-13.520111,"lng":-71.975722}		1201		Founded 1201 CE	Archaeological site in Peru.	90	["Wikidata"]	Q817594	http://www.wikidata.org/entity/Q817594	2026-07-08T10:31:36.248Z
cumae	Cumae	{"lat":40.848611,"lng":14.053611}					Archaeological site in Italy.	90	["Wikidata"]	Q243456	http://www.wikidata.org/entity/Q243456	2026-07-08T10:31:36.248Z
curia-julia	Curia Julia	{"lat":41.892930555,"lng":12.485402777}					Archaeological site in Italy.	90	["Wikidata"]	Q1144514	http://www.wikidata.org/entity/Q1144514	2026-07-08T10:31:36.248Z
cyzicus	Cyzicus	{"lat":40.387777777,"lng":27.870555555}					Archaeological site in Turkey.	90	["Wikidata"]	Q615449	http://www.wikidata.org/entity/Q615449	2026-07-08T10:31:36.248Z
dahshur	Dahshur	{"lat":29.8,"lng":31.233333333}		-2588		Founded 2588 BCE	Archaeological site in Egypt.	90	["Wikidata"]	Q685414	http://www.wikidata.org/entity/Q685414	2026-07-08T10:31:36.248Z
danevirke	Danevirke	{"lat":54.4775,"lng":9.486666666}		600		Founded 600 CE	Archaeological site in Germany.	90	["Wikidata"]	Q689454	http://www.wikidata.org/entity/Q689454	2026-07-08T10:31:36.248Z
dazu-rock-carvings	Dazu Rock Carvings	{"lat":29.713333333,"lng":105.706944444}					Archaeological site in People's Republic of China.	90	["Wikidata"]	Q651278	http://www.wikidata.org/entity/Q651278	2026-07-08T10:31:36.248Z
dead-cities	Dead Cities	{"lat":36.33416667,"lng":36.84416667}					Archaeological site in Syria.	90	["Wikidata"]	Q393841	http://www.wikidata.org/entity/Q393841	2026-07-08T10:31:36.248Z
deir-el-bahari	Deir el-Bahari	{"lat":25.7375,"lng":32.6075}					Archaeological site in Egypt.	90	["Wikidata"]	Q373909	http://www.wikidata.org/entity/Q373909	2026-07-08T10:31:36.248Z
dendera-temple-complex	Dendera Temple complex	{"lat":26.141667,"lng":32.670278}					Archaeological site in Egypt.	90	["Wikidata"]	Q735254	http://www.wikidata.org/entity/Q735254	2026-07-08T10:31:36.248Z
derinkuyu-underground-city	Derinkuyu underground city	{"lat":38.373403,"lng":34.735034}					Archaeological site in Turkey.	90	["Wikidata"]	Q1328958	http://www.wikidata.org/entity/Q1328958	2026-07-08T10:31:36.248Z
didyma	Didyma	{"lat":37.385,"lng":27.25638889}					Archaeological site in Turkey.	90	["Wikidata"]	Q671358	http://www.wikidata.org/entity/Q671358	2026-07-08T10:31:36.248Z
dodona	Dodona	{"lat":39.546389,"lng":20.787778}					Archaeological site in Greece.	90	["Wikidata"]	Q382317	http://www.wikidata.org/entity/Q382317	2026-07-08T10:31:36.248Z
domus-aurea	Domus Aurea	{"lat":41.891388888,"lng":12.495277777}		64		Founded 64 CE	Archaeological site in Italy.	90	["Wikidata"]	Q622438	http://www.wikidata.org/entity/Q622438	2026-07-08T10:31:36.248Z
dorestad	Dorestad	{"lat":51.975,"lng":5.34}					Archaeological site in Netherlands.	90	["Wikidata"]	Q739353	http://www.wikidata.org/entity/Q739353	2026-07-08T10:31:36.248Z
dover-castle	Dover Castle	{"lat":51.128268,"lng":1.3235035}		1179		Founded 1179 CE	Archaeological site in United Kingdom.	90	["Wikidata"]	Q950970	http://www.wikidata.org/entity/Q950970	2026-07-08T10:31:36.248Z
dur-kurigalzu	Dur-Kurigalzu	{"lat":33.35372,"lng":44.20229}					Archaeological site in Iraq.	90	["Wikidata"]	Q622719	http://www.wikidata.org/entity/Q622719	2026-07-08T10:31:36.248Z
dvin	Dvin	{"lat":40.004444444,"lng":44.578333333}		335		Founded 335 CE	Archaeological site in Armenia.	90	["Wikidata"]	Q429059	http://www.wikidata.org/entity/Q429059	2026-07-08T10:31:36.248Z
edessa	Edessa	{"lat":37.176482,"lng":38.776168}		-301		Founded 301 BCE	Archaeological site in Turkey.	90	["Wikidata"]	Q1190403	http://www.wikidata.org/entity/Q1190403	2026-07-08T10:31:36.248Z
edinburgh-castle	Edinburgh Castle	{"lat":55.9487,"lng":-3.20073}		1200		Founded 1200 CE	Archaeological site in United Kingdom.	90	["Wikidata"]	Q212065	http://www.wikidata.org/entity/Q212065	2026-07-08T10:31:36.248Z
egyptian-pyramids	Egyptian pyramids	{"lat":29.9725,"lng":31.128333333}					Archaeological site in Egypt.	90	["Wikidata"]	Q175582	http://www.wikidata.org/entity/Q175582	2026-07-08T10:31:36.248Z
ekron	Ekron	{"lat":31.778888888,"lng":34.851111111}					Archaeological site in Israel.	90	["Wikidata"]	Q1323557	http://www.wikidata.org/entity/Q1323557	2026-07-08T10:31:36.248Z
el-fuerte-de-samaipata	El Fuerte de Samaipata	{"lat":-18.178355555,"lng":-63.818988888}					Archaeological site in Bolivia.	90	["Wikidata"]	Q876451	http://www.wikidata.org/entity/Q876451	2026-07-08T10:31:36.248Z
el-fustat	El-Fustat	{"lat":30.005,"lng":31.2375}		641		Founded 641 CE	Archaeological site in Egypt.	90	["Wikidata"]	Q839456	http://www.wikidata.org/entity/Q839456	2026-07-08T10:31:36.248Z
el-quseir	El-Quseir	{"lat":26.109072222,"lng":34.275997222}					Archaeological site in Egypt.	90	["Wikidata"]	Q310751	http://www.wikidata.org/entity/Q310751	2026-07-08T10:31:36.248Z
elis	Elis	{"lat":37.892222222,"lng":21.374444444}		-1099		Founded 1099 BCE	Archaeological site in Greece.	90	["Wikidata"]	Q217667	http://www.wikidata.org/entity/Q217667	2026-07-08T10:31:36.248Z
epidaurus	Epidaurus	{"lat":37.63328,"lng":23.160067}					Archaeological site in Greece.	90	["Wikidata"]	Q233576	http://www.wikidata.org/entity/Q233576	2026-07-08T10:31:36.248Z
erebuni-fortress	Erebuni Fortress	{"lat":40.140647,"lng":44.537949}		-781		Founded 781 BCE	Archaeological site in Armenia.	90	["Wikidata"]	Q733610	http://www.wikidata.org/entity/Q733610	2026-07-08T10:31:36.248Z
erechtheion	Erechtheion	{"lat":37.972083333,"lng":23.726527777}		-500		Founded 500 BCE	Archaeological site in Greece.	90	["Wikidata"]	Q242741	http://www.wikidata.org/entity/Q242741	2026-07-08T10:31:36.248Z
eshnunna	Eshnunna	{"lat":33.75,"lng":44.75}					Archaeological site in Iraq.	90	["Wikidata"]	Q375685	http://www.wikidata.org/entity/Q375685	2026-07-08T10:31:36.248Z
esna	Esna	{"lat":25.293333,"lng":32.556389}					Archaeological site in Egypt.	90	["Wikidata"]	Q626031	http://www.wikidata.org/entity/Q626031	2026-07-08T10:31:36.248Z
etemenanki	Etemenanki	{"lat":32.536388888,"lng":44.420833333}					Archaeological site in Iraq.	90	["Wikidata"]	Q285788	http://www.wikidata.org/entity/Q285788	2026-07-08T10:31:36.248Z
externsteine	Externsteine	{"lat":51.868888888,"lng":8.9175}					Archaeological site in Germany.	90	["Wikidata"]	Q319172	http://www.wikidata.org/entity/Q319172	2026-07-08T10:31:36.248Z
fort-ross	Fort Ross	{"lat":38.514444444,"lng":-123.243611111}		1812		Founded 1812 CE	Archaeological site in United States.	90	["Wikidata"]	Q1278115	http://www.wikidata.org/entity/Q1278115	2026-07-08T10:31:36.248Z
forum-of-augustus	Forum of Augustus	{"lat":41.894166666,"lng":12.486666666}					Archaeological site in Italy.	90	["Wikidata"]	Q770797	http://www.wikidata.org/entity/Q770797	2026-07-08T10:31:36.248Z
forum-of-caesar	Forum of Caesar	{"lat":41.894008,"lng":12.484936}		-45		Founded 45 BCE	Archaeological site in Italy.	90	["Wikidata"]	Q856968	http://www.wikidata.org/entity/Q856968	2026-07-08T10:31:36.248Z
gamla-uppsala	Gamla Uppsala	{"lat":59.894444444,"lng":17.638888888}					Archaeological site in Sweden.	90	["Wikidata"]	Q433032	http://www.wikidata.org/entity/Q433032	2026-07-08T10:31:36.248Z
garni-temple	Garni Temple	{"lat":40.112,"lng":44.729}		50		Founded 50 CE	Archaeological site in Armenia.	90	["Wikidata"]	Q684072	http://www.wikidata.org/entity/Q684072	2026-07-08T10:31:36.248Z
gath	Gath	{"lat":31.69972,"lng":34.84694}					Archaeological site in Israel.	90	["Wikidata"]	Q1348441	http://www.wikidata.org/entity/Q1348441	2026-07-08T10:31:36.248Z
gezer	Gezer	{"lat":31.859872,"lng":34.919644}					Archaeological site in Israel.	90	["Wikidata"]	Q1466687	http://www.wikidata.org/entity/Q1466687	2026-07-08T10:31:36.248Z
ggantija	Ġgantija	{"lat":36.047265,"lng":14.269095}		-3599		Founded 3599 BCE	Archaeological site in Malta.	90	["Wikidata"]	Q216862	http://www.wikidata.org/entity/Q216862	2026-07-08T10:31:36.248Z
girga	Girga	{"lat":26.338333333,"lng":31.891666666}					Archaeological site in Egypt.	90	["Wikidata"]	Q749187	http://www.wikidata.org/entity/Q749187	2026-07-08T10:31:36.248Z
goa-gajah	Goa Gajah	{"lat":-8.523389,"lng":115.286333}					Archaeological site in Indonesia.	90	["Wikidata"]	Q2037360	http://www.wikidata.org/entity/Q2037360	2026-07-08T10:31:36.248Z
goguryeo-tombs	Goguryeo tombs	{"lat":38.863055555,"lng":125.415}					Archaeological site in North Korea.	90	["Wikidata"]	Q277525	http://www.wikidata.org/entity/Q277525	2026-07-08T10:31:36.248Z
golconda	Golconda	{"lat":17.383336111,"lng":78.404169444}					Archaeological site in India.	90	["Wikidata"]	Q4141623	http://www.wikidata.org/entity/Q4141623	2026-07-08T10:31:36.248Z
